product_id,category,price,base_demand,size_available,is_popular
PROD_00000,Handbags,401.17,24.718003188842363,"['L', 'S', 'XS', 'XL']",True
PROD_00001,Jewelry,316.61,9.917142706796607,"['XL', 'M', 'XS', 'XXL']",True
PROD_00002,Outerwear,237.86,0.845761748427561,"['XS', 'S', 'XL', 'L', 'M']",True
PROD_00003,Jewelry,268.35,25.73390384188659,"['XXL', 'L', 'S', 'M', 'XS']",True
PROD_00004,Dresses,220.88,10.056391979300406,"['S', 'XL', 'M', 'XS', 'XXL']",True
PROD_00005,Accessories,40.51,32.134189919584394,"['M', 'XS', 'XL', 'L']",True
PROD_00006,Handbags,412.15,6.496070681808373,"['XL', 'M', 'S', 'XS', 'L']",True
PROD_00007,Shoes,121.31,28.783341593749793,"['S', 'L', 'XXL']",True
PROD_00008,Dresses,223.43,10.63989948665056,"['S', 'L', 'XL', 'XS', 'XXL']",True
PROD_00009,Dresses,177.72,19.550191021020424,"['XL', 'XXL', 'M']",True
PROD_00010,Accessories,38.41,25.623744157271684,"['S', 'L', 'XL', 'XS']",True
PROD_00011,Handbags,381.18,21.78116112057824,"['XL', 'S', 'L', 'XXL', 'XS']",True
PROD_00012,Tops,63.09,45.451608529048514,"['M', 'XL', 'S', 'XXL', 'L']",True
PROD_00013,Handbags,355.06,4.241709530041859,"['XS', 'XL', 'L', 'S', 'XXL']",True
PROD_00014,Shoes,112.38,19.246645387052162,"['XL', 'XS', 'S', 'L']",True
PROD_00015,Outerwear,197.01,13.550775754270127,"['S', 'XXL', 'M']",True
PROD_00016,Accessories,44.34,23.35394389590407,"['L', 'XXL', 'XL']",True
PROD_00017,Accessories,35.0,1.6217513428987382,"['XS', 'XL', 'M', 'S']",True
PROD_00018,Bottoms,75.26,38.88396324888123,"['XL', 'XXL', 'L']",True
PROD_00019,Accessories,29.06,38.28021896825023,"['XS', 'M', 'XL']",True
PROD_00020,Handbags,371.31,4.200973067517912,"['XXL', 'M', 'S', 'L', 'XL']",True
PROD_00021,Accessories,45.14,6.870618941603256,"['XXL', 'XS', 'XL', 'S', 'M']",True
PROD_00022,Bottoms,78.31,10.372670444422269,"['XL', 'M', 'XXL']",True
PROD_00023,Outerwear,257.63,19.46506690183031,"['M', 'XL', 'XS', 'XXL', 'S']",True
PROD_00024,Outerwear,181.73,17.49095633400318,"['XL', 'S', 'L', 'M', 'XXL']",True
PROD_00025,Jewelry,354.42,24.01711648196688,"['XXL', 'XL', 'S']",True
PROD_00026,Outerwear,232.91,25.108733076056563,"['M', 'XS', 'L', 'XL']",True
PROD_00027,Jewelry,373.89,14.631899437943165,"['S', 'XS', 'M']",True
PROD_00028,Dresses,141.97,26.268736502686956,"['XS', 'L', 'S', 'M']",True
PROD_00029,Bottoms,83.8,95.64849353481978,"['M', 'S', 'XXL']",True
PROD_00030,Bottoms,92.61,16.517573449752895,"['XXL', 'S', 'XL', 'XS']",True
